pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,31,2,126,2,,,,,422.7121719000861,423.7127986997366,423.7127986997366,423.7127986997366,423.7127986997366,423.7127986997366,424.69649530015886,424.69649530015886,c,1,0.6337534999474883,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,31,3,127,3,,,,,425.3629028997384,426.363214999903,426.363214999903,426.363214999903,426.363214999903,426.363214999903,427.34689879976213,427.34689879976213,z,1,0.5486926003359258,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,32,0,128,0,,,,,427.9143762001768,428.9140916997567,428.9140916997567,428.9140916997567,428.9140916997567,428.9140916997567,429.91453790012747,429.91453790012747,x,1,2.1664513000287116,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,32,1,129,1,,,,,432.0986478999257,433.0989244999364,433.0989244999364,433.0989244999364,433.0989244999364,433.0989244999364,434.1000537001528,434.1000537001528,v,1,1.319343600422144,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,32,2,130,2,,,,,435.45000609988347,436.45027999999,436.45027999999,436.45027999999,436.45027999999,436.45027999999,437.43465099995956,437.43465099995956,c,1,0.8863925999030471,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,32,3,131,3,,,,,438.35104520013556,439.3520519998856,439.3520519998856,439.3520519998856,439.3520519998856,439.3520519998856,440.3357596001588,440.3357596001588,z,1,1.1271958001889288,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,33,0,132,0,,,,,441.48559579998255,442.48594729974866,442.48594729974866,442.48594729974866,442.48594729974866,442.48594729974866,443.4702714998275,443.4702714998275,x,1,0.6822660001926124,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,33,1,133,1,,,,,444.1700051999651,445.17036580014974,445.17036580014974,445.17036580014974,445.17036580014974,445.17036580014974,446.17129410011694,446.17129410011694,v,1,2.252963200211525,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,33,2,134,2,,,,,448.45549129974097,449.45549120008945,449.45549120008945,449.45549120008945,449.45549120008945,449.45549120008945,450.45624999981374,450.45624999981374,c,1,1.0954156001098454,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,33,3,135,3,,,,,451.57282460015267,452.57323990017176,452.57323990017176,452.57323990017176,452.57323990017176,452.57323990017176,453.57409409992397,453.57409409992397,z,1,0.8679864001460373,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,34,0,136,0,,,,,454.4744389997795,455.45754780014977,455.45754780014977,455.45754780014977,455.45754780014977,455.47411919990554,456.45802700007334,456.45802700007334,x,1,0.5230060000903904,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,34,1,137,1,,,,,457.0087383999489,458.0084620998241,458.0084620998241,458.0084620998241,458.0084620998241,458.0084620998241,459.0094920997508,459.0094920997508,v,1,0.855761700309813,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,34,2,138,2,,,,,459.8931554001756,460.89292010013014,460.89292010013014,460.89292010013014,460.89292010013014,460.89292010013014,461.87668049987406,461.87668049987406,c,1,0.4511255002580583,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,34,3,139,3,,,,,462.3605657001026,463.3611507001333,463.3611507001333,463.3611507001333,463.3611507001333,463.3611507001333,464.3615116998553,464.3615116998553,z,1,0.8699206002056599,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
